"","Year","Stage","elapsed","Date","Origin","Distance","Destination","Type","Average_speed"
"284",1992,12,25856,1992-07-16,"Dole",267.5,"St Gervais","2",37.2447400990099
"285",1992,13,27891,1992-07-18,"St Gervais",254.5,"Sestriere","3",32.8493062278154
"286",1992,14,20518,1992-07-19,"Sestriere",186.5,"Alpe d'Huez","3",32.7224875718881
"287",1992,15,17039,1992-07-20,"Le Bourg-d'Oisans",198,"Saint-Étienne","2",41.833440929632
"288",1992,16,21134,1992-07-21,"Saint-Étienne",212,"La Bourboule","2",36.1124254755371
"289",1992,17,16495,1992-07-22,"La Bourboule",189,"Montluçon","1",41.2488632919066
"290",1992,18,18435,1992-07-23,"Montluçon",212,"Tours","1",41.3995117982099
"291",1992,19,4401,1992-07-24,"Tours",64,"Blois","0",52.3517382413088
"293",1992,20,21816,1992-07-25,"Blois",222,"Nanterre","1",36.6336633663366
"294",1992,21,12517,1992-07-26,"La Défense",141,"Paris","1",40.5528481265479
"302",1993,0,492,1993-07-03,"Le Puy du Fou",6.8,"Le Puy du Fou","0",49.7560975609756
"303",1993,1,17549,1993-07-04,"Luçon",215,"Les Sables-d'Olonne","1",44.1050772123768
"314",1993,2,20469,1993-07-05,"Les Sables-d'Olonne",227.5,"Vannes","1",40.011725047633
"316",1993,3,16913,1993-07-06,"Vannes",189.5,"Dinard","1",40.3358363389109
"318",1993,5,18717,1993-07-08,"Avranches",225.5,"Évreux","1",43.3723353101459
"319",1993,6,11510,1993-07-09,"Évreux",158,"Amiens","1",49.4178974804518
"320",1993,7,16091,1993-07-10,"Péronne",199,"Châlons-sur-Marne","1",44.5217823628115
"321",1993,8,15743,1993-07-11,"Châlons-sur-Marne",184.5,"Verdun","1",42.1901797624341
"322",1993,9,4370,1993-07-12,"Lac de Madine",59,"Lac de Madine","0",48.604118993135
"304",1993,10,19732,1993-07-14,"Villard-de-Lans",203,"Serre Chevalier","3",37.0362862355565
"305",1993,11,20463,1993-07-15,"Serre Chevalier",179,"Isola 2000","3",31.4909837267263
"306",1993,12,26984,1993-07-16,"Isola",286.5,"Marseille","1",38.2226504595316
"307",1993,13,15190,1993-07-17,"Marseille",181.5,"Montpellier","1",43.0151415404872
"308",1993,14,19731,1993-07-18,"Montpellier",223,"Perpignan","1",40.6872434240535
"309",1993,15,26419,1993-07-19,"Perpignan",231.5,"Pal","3",31.5454786328022
"310",1993,16,26461,1993-07-21,"Andorra",230,"Saint-Lary-Soulan Pla d'Adet","3",31.2913344166887
"311",1993,17,18333,1993-07-22,"Tarbes",190,"Pau","3",37.3097692685322
"312",1993,18,18544,1993-07-23,"Orthez",199.5,"Bordeaux","1",38.7295081967213
"313",1993,19,3422,1993-07-24,"Brétigny-sur-Orge",48,"Montlhéry","0",50.4967855055523
"315",1993,20,19640,1993-07-25,"Viry-Châtillon",196.5,"Paris","1",36.0183299389002
"323",1994,0,469,1994-07-02,"Lille",7.2,"Lille","0",55.2665245202559
"324",1994,1,20776,1994-07-03,"Lille",234,"Armentières","1",40.5467847516365
"335",1994,2,18340,1994-07-04,"Roubaix",203.5,"Boulogne-sur-Mer","1",39.9454743729553
"339",1994,4,18773,1994-07-06,"Dover",204.5," Brighton","1",39.2158951685932
"340",1994,5,15049,1994-07-07,"Portsmouth",187,"Portsmouth","1",44.7338693600904
"341",1994,6,25127,1994-07-08,"Cherbourg",270.5,"Rennes","1",38.7551239702312
"342",1994,7,21410,1994-07-09,"Rennes",259.5,"Futuroscope","1",43.633815973844
"343",1994,8,18567,1994-07-10,"Poitiers",218.5,"Trélissac","1",42.3654871546292
"344",1994,9,4558,1994-07-11,"Périgueux",64,"Bergerac","0",50.5484861781483
"325",1994,10,13091,1994-07-12,"Bergerac",160.5,"Cahors","1",44.1371934917119
"326",1994,11,25084,1994-07-13,"Cahors",263.5,"Hautacam","3",37.8169350980705
"327",1994,12,22112,1994-07-15,"Lourdes",204.5,"Luz Ardiden","3",33.2941389290883
"328",1994,13,18888,1994-07-16,"Bagnères-de-Bigorre",223,"Albi","1",42.5031766200762
"329",1994,14,18664,1994-07-17,"Castres",202,"Montpellier","1",38.9627089584226
"330",1994,15,23519,1994-07-18,"Montpellier",231,"Carpentras","3",35.3586462009439
"331",1994,16,22005,1994-07-19,"Valréas",224.5,"Alpe d'Huez","3",36.7280163599182
"332",1994,17,18832,1994-07-20,"Le Bourg-d'Oisans",149,"Val Thorens","3",28.4834324553951
"333",1994,18,17539,1994-07-21,"Moutiers",174.5,"Cluses","3",35.8173213980273
"334",1994,19,4979,1994-07-22,"Cluses",47.5,"Avoriaz","3",34.3442458324965
"336",1994,20,21037,1994-07-23,"Morzine",208.5,"Lac Saint-Point","2",35.6799923943528
"337",1994,21,17014,1994-07-24,"Disneyland Paris",175,"Paris","1",37.0283296109087
"345",1995,0,540,1995-07-01,"Saint-Brieuc",7.3,"Saint-Brieuc","0",48.6666666666667
"346",1995,1,20958,1995-07-02,"Dinan",233.5,"Lannion","1",40.1087890065846
"357",1995,2,19595,1995-07-03,"Perros-Guirec",235.5,"Vitre","1",43.2661393212554
"360",1995,4,13223,1995-07-05,"Alençon",162,"Le Havre","1",44.1049686152915
"361",1995,5,21106,1995-07-06,"Fécamp",261,"Dunkirk","1",44.518146498626
"362",1995,6,16257,1995-07-07,"Dunkirk",202,"Charleroi","1",44.7315002768038
"363",1995,7,17294,1995-07-08,"Charleroi",203,"Liège","2",42.2574303226553
"364",1995,8,3856,1995-07-09,"Huy",54,"Seraing","0",50.4149377593361
"365",1995,9,16878,1995-07-11,"Le Grand-Bornand",160,"La Plagne","3",34.1272662637753
"347",1995,10,18794,1995-07-12,"La Plagne",162.5,"L'Alpe d'Huez","3",31.1269554113015
"348",1995,11,16995,1995-07-13,"Le Bourg-d'Oisans",199,"Saint-Étienne","2",42.153574580759
"349",1995,12,19145,1995-07-14,"Saint-Étienne",222.5,"Mende","2",41.8386001566989
"350",1995,13,21045,1995-07-15,"Mende",245,"Revel","1",41.9101924447612
"351",1995,14,16148,1995-07-16,"Saint-Orens-de-Gameville",164,"Guzet-Neige","3",36.5618033192965
"352",1995,15,22848,1995-07-18,"Saint-Girons",206,"Cauterets","3",32.4579831932773
"354",1995,17,23389,1995-07-20,"Pau",246,"Bordeaux","1",37.8639531403651
"355",1995,18,13673,1995-07-21,"Montpon-Ménestérol",166.5,"Limoges","1",43.8382213120749
"356",1995,19,3454,1995-07-22,"Lac de Vassivière",46.5,"Lac de Vassivière","0",48.4655471916618
"358",1995,20,13186,1995-07-23,"Sainte-Geneviève-des-Bois",155,"Paris","1",42.3176095859245
"366",1996,0,653,1996-06-29,"'s-Hertogenbosch",9.4,"'s-Hertogenbosch","0",51.8223583460949
"367",1996,1,18001,1996-06-30,"'s-Hertogenbosch",209,"'s-Hertogenbosch","1",41.797677906783
"378",1996,2,23362,1996-07-01,"'s-Hertogenbosch",247.5,"Wasquehal","1",38.1388579744885
"381",1996,3,19761,1996-07-02,"Wasquehal",195,"Nogent-sur-Oise","1",35.5245179899803
"382",1996,4,20630,1996-07-03,"Soissons",232,"Lac de Madine","1",40.4847309743093
"383",1996,5,20630,1996-07-04,"Lac de Madine",242,"Besançon","1",42.2297624818226
"384",1996,6,18338,1996-07-05,"Arc-et-Senans",207,"Aix-les-Bains","2",40.6369287817646
"385",1996,7,20842,1996-07-06,"Chambéry",200,"Les Arcs","3",34.5456290183284
"386",1996,8,3113,1996-07-07,"Bourg-Saint-Maurice",30.5,"Val d'Isère","0",35.2714423385802
"387",1996,9,4244,1996-07-08,"Le Monêtier-les-Bains",46,"Sestriere","3",39.0197926484449
"368",1996,10,18490,1996-07-09,"Turin",208.5,"Gap","2",40.5949161709032
"369",1996,11,18552,1996-07-11,"Gap",202,"Valence","2",39.1979301423027
"370",1996,12,19759,1996-07-12,"Valence",143.5,"Le Puy-en-Velay","2",26.145047826307
"371",1996,13,14636,1996-07-13,"Le Puy-en-Velay",177,"Super Besse","2",43.5364853785187
"372",1996,14,14789,1996-07-14,"Besse",186.5,"Tulle","2",45.3986070728244
"373",1996,15,14092,1996-07-15,"Brive-la-Gaillarde",176,"Villeneuve-sur-Lot","1",44.9616803860346
"374",1996,16,17776,1996-07-16,"Agen",199,"Hautacam","3",40.3015301530153
"375",1996,17,25628,1996-07-17,"Argelès-Gazost",262,"Pamplona","3",36.8034961760574
"376",1996,18,15062,1996-07-18,"Pamplona",154.5,"Hendaye","2",36.927366883548
"377",1996,19,19511,1996-07-19,"Hendaye",226.5,"Bordeaux","1",41.7918097483471
"379",1996,20,4531,1996-07-20,"Bordeaux",63.5,"Saint-Émilion","0",50.4524387552417
"380",1996,21,12644,1996-07-21,"Palaiseau",147.5,"Paris","1",41.9962037329959
"388",1997,0,500,1997-07-05,"Rouen",7.3,"Rouen","0",52.56
"389",1997,1,16799,1997-07-06,"Rouen",192,"Forges-les-Eaux","1",41.1453062682303
"400",1997,2,23267,1997-07-07,"Saint-Valery-en-Caux",262,"Vire","1",40.5381011733356
"403",1997,3,17673,1997-07-08,"Vire",224,"Plumelec","1",45.6289254795451
"404",1997,4,20802,1997-07-09,"Plumelec",223,"Le Puy du Fou","1",38.5924430343236
"405",1997,5,22604,1997-07-10,"Chantonnay",261.5,"La Châtre","1",41.6474960184038
"406",1997,6,21489,1997-07-11,"Le Blanc",217.5,"Marennes","1",36.4372469635628
"407",1997,7,15075,1997-07-12,"Marennes",194,"Bordeaux","1",46.3283582089552
"408",1997,8,12162,1997-07-13,"Sauternes",161.5,"Pau","1",47.8046373951653
"409",1997,9,19497,1997-07-14,"Pau",182,"Loudenvielle","3",33.6051700261579
"390",1997,10,27966,1997-07-15,"Luchon",252.5,"Andorra Arcalis","3",32.5037545591075
"391",1997,11,18305,1997-07-16,"Andorra Arcalis",192,"Perpignan","2",37.7601748156241
"392",1997,12,4584,1997-07-18,"Saint-Étienne",55,"Saint-Étienne","0",43.1937172774869
"393",1997,13,18162,1997-07-19,"Saint-Étienne",203.5,"Alpe d'Huez","3",40.3369672943508
"394",1997,14,16456,1997-07-20,"Le Bourg-d'Oisans",148,"Courchevel","3",32.3772484200292
"395",1997,15,21436,1997-07-21,"Courchevel",208.5,"Morzine","3",35.0158611681284
"396",1997,16,16211,1997-07-22,"Morzine",181,"Fribourg","2",40.194929368947
"397",1997,17,17678,1997-07-23,"Fribourg",218.5,"Colmar","1",44.4959837085643
"398",1997,18,15888,1997-07-24,"Colmar",175.5,"Montbéliard","2",39.7658610271903
"399",1997,19,14597,1997-07-25,"Montbéliard",172,"Dijon","1",42.4196752757416
"401",1997,20,4557,1997-07-26,"Disneyland Paris",63,"Disneyland Paris","0",49.7695852534562
"402",1997,21,14076,1997-07-27,"Disneyland Paris",149.5,"Paris","1",38.2352941176471
"410",1998,0,372,1998-07-11,"Dublin",5.6,"Dublin","0",54.1935483870968
"411",1998,1,16198,1998-07-12,"Dublin",180.5,"Dublin","1",40.1160637115693
"421",1998,2,20710,1998-07-13,"Enniscorthy",205.5,"Cork","1",35.7218734910671
"424",1998,3,12816,1998-07-14,"Roscoff",169,"Lorient","1",47.4719101123595
"425",1998,4,20912,1998-07-15,"Plouay",252,"Cholet","1",43.3817903596021
"426",1998,5,19129,1998-07-16,"Cholet",228.5,"Châteauroux","1",43.0027706623451
"427",1998,6,18332,1998-07-17,"La Châtre",204.5,"Brive-la-Gaillarde","1",40.1592843115863
"428",1998,7,4525,1998-07-18,"Meyrignac-l'Église",58,"Corrèze","0",46.1436464088398
"429",1998,8,16855,1998-07-19,"Brive-la-Gaillarde",190.5,"Montauban","1",40.688223079205
"430",1998,9,19270,1998-07-20,"Montauban",210,"Pau","1",39.231966787753
"412",1998,10,20980,1998-07-21,"Pau",196.5,"Luchon","3",33.7178265014299
"413",1998,11,18927,1998-07-22,"Luchon",170,"Plateau de Beille","3",32.3347598668569
"414",1998,12,15171,1998-07-24,"Tarascon-sur-Ariège",222,"Le Cap d'Agde","1",52.6794542218707
"415",1998,13,16366,1998-07-25,"Frontignan la Peyrade",196,"Carpentras","1",43.1137724550898
"416",1998,14,16253,1998-07-26,"Valréas",186.5,"Grenoble","2",41.3092967452163
"417",1998,15,20625,1998-07-27,"Grenoble",189,"Les Deux Alpes","3",32.9890909090909
"418",1998,16,20387,1998-07-28,"Vizille",204,"Albertville","3",36.02295580517
"419",1998,18,17607,1998-07-30,"Aix-les-Bains",218.5,"Neuchâtel","2",44.6754131879366
"420",1998,19,18614,1998-07-31,"La Chaux-de-Fonds",242,"Autun","1",46.8034812506715
"422",1998,20,3832,1998-08-01,"Montceau-les-Mines",52,"Le Creusot","0",48.8517745302714
"423",1998,21,13476,1998-08-02,"Melun",147.5,"Paris","1",39.4033837934105
"431",1999,0,482,1999-07-03,"Le Puy du Fou",6.8,"Le Puy du Fou","0",50.7883817427386
"432",1999,1,17778,1999-07-04,"Montaigu",208,"Challans","1",42.1194735065812
"443",1999,2,13532,1999-07-05,"Challans",176,"Saint-Nazaire","1",46.822347029264
"445",1999,3,16167,1999-07-06,"Nantes",194.5,"Laval","1",43.3104472072741
"446",1999,4,13905,1999-07-07,"Laval",194.5,"Blois","1",50.3559870550162
"447",1999,5,20188,1999-07-08,"Bonneval",233.5,"Amiens","1",41.6385971864474
"448",1999,6,15069,1999-07-09,"Amiens",171.5,"Maubeuge","1",40.9715309575951
"449",1999,7,19619,1999-07-10,"Avesnes-sur-Helpe",227,"Thionville","1",41.6534991589785
"450",1999,8,4116,1999-07-11,"Metz",56.5,"Metz","0",49.4169096209913
"451",1999,9,21431,1999-07-13,"Le Grand-Bornand",213.5,"Sestrières","3",35.8639354206523
"433",1999,10,24151,1999-07-14,"Sestrières",220.5,"Alpe d'Huez","3",32.8682042151464
"434",1999,11,16443,1999-07-15,"Le Bourg-d'Oisans",198.5,"Saint-Étienne","2",43.4592227695676
"435",1999,12,17630,1999-07-16,"Saint-Galmier",201.5,"Saint-Flour","2",41.1457742484402
"436",1999,13,21165,1999-07-17,"Saint-Flour",236.5,"Albi","2",40.2267895109851
"437",1999,14,16679,1999-07-18,"Castres",199,"Saint-Gaudens","1",42.9522153606331
"438",1999,15,19189,1999-07-20,"Saint-Gaudens",173,"Piau-Engaly","3",32.4560946375528
"439",1999,16,19027,1999-07-21,"Lannemezan",192,"Pau","3",36.3273243285857
"440",1999,17,15749,1999-07-22,"Mourenx",200,"Bordeaux","1",45.7171883929138
"441",1999,18,15463,1999-07-23,"Jonzac",187.5,"Futuroscope","1",43.6525900536765
"442",1999,19,4097,1999-07-24,"Futuroscope",57,"Futuroscope","0",50.0854283622163
"444",1999,20,13059,1999-07-25,"Arpajon",143.5,"Paris","1",39.5589248793935
"452",2000,1,1143,2000-07-01,"Futuroscope",16.5,"Futuroscope","0",51.9685039370079
"463",2000,2,17168,2000-07-02,"Futuroscope",194,"Loudun","1",40.6803355079217
"466",2000,3,13071,2000-07-03,"Loudun",161.5,"Nantes","1",44.480146890062
"468",2000,5,15545,2000-07-05,"Vannes",202,"Vitré","1",46.7803152138951
"469",2000,6,16086,2000-07-06,"Vitré",198.5,"Tours","1",44.4237224916076
"470",2000,7,18701,2000-07-07,"Tours",205.5,"Limoges","1",39.5593818512379
"471",2000,8,15734,2000-07-08,"Limoges",203.5,"Villeneuve-sur-Lot","1",46.5615863734588
"472",2000,9,16146,2000-07-09,"Agen",181,"Dax","1",40.3567447045708
"453",2000,10,22172,2000-07-10,"Dax",205,"Hautacam","3",33.2852246076132
"454",2000,11,18347,2000-07-11,"Bagnères-de-Bigorre",218.5,"Revel","2",42.8734943042459
"455",2000,12,15311,2000-07-13,"Carpentras",149,"Mont Ventoux","3",35.0336359480112
"456",2000,13,14582,2000-07-14,"Avignon",185.5,"Draguignan","1",45.7961870799616
"457",2000,14,28573,2000-07-15,"Draguignan",249.5,"Briançon","3",31.4352710600917
"458",2000,15,20086,2000-07-16,"Briançon",173.5,"Courchevel","3",31.0962859703276
"459",2000,16,19940,2000-07-18,"Courchevel",196.5,"Morzine","3",35.4764292878636
"460",2000,17,12293,2000-07-19,"Évian-les-Bains",155,"Lausanne","2",45.3916863255511
"461",2000,18,22095,2000-07-20,"Lausanne",246.5,"Freiburg","1",40.162932790224
"462",2000,19,3901,2000-07-21,"Freiburg",58.5,"Mulhouse","0",53.9861573955396
"464",2000,20,22453,2000-07-22,"Belfort",254.5,"Troyes","1",40.8052376074467
"465",2000,21,11556,2000-07-23,"Paris",138,"Paris","1",42.9906542056075
"473",2001,0,560,2001-07-07,"Dunkirk",8.2,"Dunkirk","0",52.7142857142857
"474",2001,1,17715,2001-07-08,"Saint-Omer",194.5,"Boulogne-sur-Mer","1",39.5258255715495
"485",2001,2,16547,2001-07-09,"Calais",220.5,"Antwerp","1",47.9724421345259
"487",2001,3,16472,2001-07-10,"Antwerp",198.5,"Seraing","1",43.382710053424
"488",2001,4,19069,2001-07-11,"Huy",215,"Verdun","1",40.589438355446
"490",2001,6,17439,2001-07-13,"Commercy",211.5,"Strasbourg","1",43.6607603646998
"491",2001,7,14764,2001-07-14,"Strasbourg",162.5,"Colmar","2",39.6234082904362
"492",2001,8,17958,2001-07-15,"Colmar",222.5,"Pontarlier","1",44.6040761777481
"493",2001,9,14268,2001-07-16,"Pontarlier",185,"Aix-les-Bains","1",46.6778805719092
"475",2001,10,23027,2001-07-17,"Aix-les-Bains",209,"Alpe d'Huez","3",32.6746862378946
"476",2001,11,4047,2001-07-18,"Grenoble",32,"Chamrousse","0",28.4655300222387
"477",2001,12,18214,2001-07-20,"Perpignan",166.5,"Plateau de Bonascre","3",32.9087515098276
"478",2001,13,20662,2001-07-21,"Foix",194,"Saint-Lary-Soulan Pla d'Adet","3",33.8011809118188
"479",2001,14,15870,2001-07-22,"Tarbes",141.5,"Luz Ardiden","3",32.0982986767486
"480",2001,15,18981,2001-07-24,"Pau",232.5,"Lavaur","1",44.0967283072546
"481",2001,16,19631,2001-07-25,"Castelsarrasin",229.5,"Sarran","1",42.086495848403
"482",2001,17,15216,2001-07-26,"Brive-la-Gaillarde",194,"Montluçon","1",45.8990536277603
"483",2001,18,4456,2001-07-27,"Montluçon",61,"Saint-Amand-Montrond","0",49.2818671454219
"484",2001,19,11547,2001-07-28,"Orléans",149.5,"Évry","1",46.6095089633671
"486",2001,20,14248,2001-07-29,"Corbeil-Essonnes",160.5,"Paris","1",40.5530600786075
"494",2002,0,548,2002-07-06,"Luxembourg City",7,"Luxembourg City","0",45.985401459854
"495",2002,1,17356,2002-07-07,"Luxembourg City",192.5,"Luxembourg City","1",39.9285549665822
"506",2002,2,15591,2002-07-08,"Luxembourg City",181,"Saarbrücken","1",41.7933423128728
"508",2002,3,15217,2002-07-09,"Metz",174.5,"Reims","1",41.2827758428074
"510",2002,5,15213,2002-07-11,"Soissons",195,"Rouen","1",46.1447446263064
"511",2002,6,15787,2002-07-12,"Forges-les-Eaux",199.5,"Alençon","1",45.4931272566035
"512",2002,7,15056,2002-07-13,"Bagnoles-de-l'Orne",176,"Avranches","1",42.0828905419766
"513",2002,8,16612,2002-07-14,"Saint-Martin-de-Landelles",217.5,"Plouay","1",47.1346014928967
"514",2002,9,3739,2002-07-15,"Lanester",52,"Lorient","0",50.0668627975395
"496",2002,10,10815,2002-07-17,"Bazas",147,"Pau","1",48.9320388349515
"497",2002,11,15717,2002-07-18,"Pau",158,"La Mongie","3",36.1901126169116
"498",2002,12,21629,2002-07-19,"Lannemezan",199.5,"Plateau de Beille","3",33.2054186508854
"499",2002,13,14898,2002-07-20,"Lavelanet",171,"Béziers","1",41.3209826822392
"500",2002,14,20606,2002-07-21,"Lodève",221,"Mont Ventoux","3",38.6101135591575
"501",2002,15,21316,2002-07-23,"Vaison-la-Romaine",226.5,"Les Deux Alpes","2",38.2529555263652
"502",2002,16,20909,2002-07-24,"Les Deux Alpes",179.5,"La Plagne","3",30.905351762399
"503",2002,17,14547,2002-07-25,"Aime",142,"Cluses","3",35.141266240462
"504",2002,18,16108,2002-07-26,"Cluses",176.5,"Bourg-en-Bresse","2",39.4462378942141
"505",2002,19,3830,2002-07-27,"Régnié-Durette",50,"Mâcon","0",46.9973890339426
"507",2002,20,12647,2002-07-28,"Melun",144,"Paris","1",40.9899580928283
"515",2003,0,446,2003-07-05,"Paris",6.5,"Paris","0",52.4663677130045
"516",2003,1,13473,2003-07-06,"Saint-Denis",168,"Meaux","1",44.8897795591182
"527",2003,2,18393,2003-07-07,"La Ferté-sous-Jouarre",204.5,"Sedan","1",40.0260968846844
"529",2003,3,12459,2003-07-08,"Charleville-Mézières",167.5,"Saint-Dizier","1",48.3987478930893
"531",2003,5,14987,2003-07-10,"Troyes",196.5,"Nevers","1",47.200907453126
"532",2003,6,18515,2003-07-11,"Nevers",230,"Lyon","1",44.7204968944099
"533",2003,7,21963,2003-07-12,"Lyon",230.5,"Morzine","3",37.7817238082229
"534",2003,8,21450,2003-07-13,"Sallanches",219,"Alpe d'Huez","3",36.7552447552448
"535",2003,9,18120,2003-07-14,"Le Bourg-d'Oisans",184.5,"Gap","3",36.6556291390728
"517",2003,10,18573,2003-07-15,"Gap",219.5,"Marseille","1",42.5456307543208
"518",2003,11,12573,2003-07-17,"Narbonne",153.5,"Toulouse","1",43.9513242662849
"519",2003,12,3512,2003-07-18,"Gaillac",47,"Cap Découverte","0",48.1776765375854
"520",2003,13,18968,2003-07-19,"Toulouse",197.5,"Ax 3 Domaines","3",37.4841838886546
"521",2003,14,19912,2003-07-20,"Saint-Girons",191.5,"Loudenvielle","3",34.6223382884693
"522",2003,15,16166,2003-07-21,"Bagnères-de-Bigorre",159.5,"Luz Ardiden","3",35.518990473834
"523",2003,16,17981,2003-07-23,"Pau",197.5,"Bayonne","3",39.5417385017519
"524",2003,17,14063,2003-07-24,"Dax",181,"Bordeaux","1",46.3343525563536
"525",2003,18,14598,2003-07-25,"Bordeaux",203.5,"Saint-Maixent-l'École","1",50.1849568434032
"526",2003,19,3245,2003-07-26,"Pornic",49,"Nantes","0",54.3605546995378
"528",2003,20,13129,2003-07-27,"Ville-d'Avray",152,"Paris","1",41.6787264833575
"536",2004,0,410,2004-07-03,"Liège",6.1,"Liège","0",53.5609756097561
"537",2004,1,16829,2004-07-04,"Liège",202.5,"Charleroi","1",43.3180818824648
"548",2004,2,15519,2004-07-05,"Charleroi",197,"Namur","1",45.6988208003093
"550",2004,3,16605,2004-07-06,"Waterloo",210,"Wasquehal","1",45.5284552845528
"552",2004,5,18358,2004-07-08,"Amiens",200.5,"Chartres","1",39.3180084976577
"553",2004,6,16421,2004-07-09,"Bonneval",196,"Angers","1",42.9693684915657
"554",2004,7,16294,2004-07-10,"Châteaubriant",204.5,"Saint-Brieuc","1",45.182275684301
"555",2004,8,14062,2004-07-11,"Lamballe",168,"Quimper","1",43.0095292277059
"556",2004,9,12775,2004-07-13,"Saint-Léonard-de-Noblat",160.5,"Guéret","1",45.2289628180039
"538",2004,10,21624,2004-07-14,"Limoges",237,"Saint-Flour","2",39.4561598224195
"539",2004,11,14098,2004-07-15,"Saint-Flour",164,"Figeac","2",41.8782806071783
"540",2004,12,18238,2004-07-16,"Castelsarrasin",197.5,"La Mongie","3",38.9845377782652
"541",2004,13,21878,2004-07-17,"Lannemezan",205.5,"Plateau de Beille","3",33.8147911143615
"542",2004,14,15512,2004-07-18,"Carcassonne",192.5,"Nîmes","1",44.6750902527076
"543",2004,15,16830,2004-07-20,"Valréas",180.5,"Villard-de-Lans","3",38.6096256684492
"544",2004,16,2381,2004-07-21,"Le Bourg-d'Oisans",15.5,"Alpe d'Huez","0",23.4355312893742
"545",2004,17,22312,2004-07-22,"Le Bourg-d'Oisans",204.5,"Le Grand-Bornand","3",32.9956973825744
"546",2004,18,14643,2004-07-23,"Annemasse",166.5,"Lons-le-Saunier","2",40.9342347879533
"547",2004,19,4009,2004-07-24,"Besançon",55,"Besançon","0",49.3888750311798
"549",2004,20,14906,2004-07-25,"Montereau-Fault-Yonne",163,"Paris","1",39.3666979739702
"557",2005,1,1251,2005-07-02,"Fromentine",19,"Noirmoutier-en-l'Île","0",54.6762589928058
"568",2005,2,13891,2005-07-03,"Challans",181.5,"Les Essarts","1",47.0376502771579
"571",2005,3,16569,2005-07-04,"La Châtaigneraie",212.5,"Tours","1",46.1705594785443
"573",2005,5,13560,2005-07-06,"Chambord",183,"Montargis","1",48.5840707964602
"574",2005,6,15172,2005-07-07,"Troyes",199,"Nancy","1",47.2185605061956
"575",2005,7,18225,2005-07-08,"Lunéville",228.5,"Karlsruhe","1",45.1358024691358
"576",2005,8,18234,2005-07-09,"Pforzheim",231.5,"Gérardmer","2",45.7058242843041
"577",2005,9,14900,2005-07-10,"Gérardmer",171,"Mulhouse","2",41.3154362416107
"558",2005,10,17435,2005-07-12,"Grenoble",177,"Courchevel","3",36.5471752222541
"559",2005,11,17258,2005-07-13,"Courchevel",173,"Briançon","3",36.0876115424731
"560",2005,12,15606,2005-07-14,"Briançon",187,"Digne-les-Bains","2",43.1372549019608
